Area,Address,Price,Bedrooms,Bathrooms,Sqft
"Austin, TX","7006 Montana St, Austin, TX 78741","$359,900 ",3,3,"1,329"
"Austin, TX","5617 Lehman Way, Austin, TX 78747","$439,000 ",4,3,"2,171"
"Austin, TX","509 Mulberry Dr, Austin, TX 78745","$435,000 ",3,2,"1,487"
"Austin, TX","4507 Avenue D, Austin, TX 78751","$600,000 ",2,2,"1,036"
"Austin, TX","4702 Dove Springs Dr, Austin, TX 78744","$339,000 ",3,2,"1,215"
"Austin, TX","7512 Downridge Dr, Austin, TX 78731","$800,000 ",3,3,"2,606"
"Austin, TX","2313 Hartford Rd, Austin, TX 78703","$2,750,000 ",4,3,"3,453"
"Austin, TX","1015 E Yager Ln UNIT 164, Austin, TX 78753","$220,000 ",2,1,734
"Austin, TX","10708 Newmont Rd, Austin, TX 78758","$349,000 ",4,2,"1,794"
"Austin, TX","9622 Woodvale Dr, Austin, TX 78729","$475,000 ",3,3,"1,924"
"Austin, TX","4321 City Park Rd, Austin, TX 78730","$6,950,000 ",5,6,"5,394"
"Austin, TX","9505 N Creek Dr, Austin, TX 78753","$299,000 ",3,1,"1,284"
"Austin, TX","5505 Honey Dew Ter, Austin, TX 78749","$450,000 ",3,2,"1,319"
"Austin, TX","1803 Running Brook Dr, Austin, TX 78723","$995,000 ",3,3,"2,249"
"Austin, TX","1909 Fair Oaks Dr, Austin, TX 78745","$449,000 ",3,3,"1,808"
"Austin, TX","1300 Village West Dr, Austin, TX 78733","$1,920,000 ",5,5,"4,198"
"Austin, TX","709 Santaluz Path, Austin, TX 78732","$1,595,000 ",5,4,"4,198"
"Austin, TX","44 East Ave #3406, Austin, TX 78701","$777,000 ",2,2,796
"Austin, TX","710 Colorado St APT 5I, Austin, TX 78701","$699,000 ",2,2,"1,282"
"Austin, TX","907 Firebranch Trl, Austin, TX 78748","$469,000 ",3,3,"1,886"
"Austin, TX","3701 Caney Creek Rd, Austin, TX 78732","$628,000 ",4,4,"2,996"
"Austin, TX","9204 Cessna Ln, Austin, TX 78717","$875,000 ",5,4,"3,976"
"Austin, TX","12114 Shetland Chas, Austin, TX 78727","$779,900 ",4,2,"2,229"
"Austin, TX","8601 Westgate Cir #8203, Austin, TX 78746","$179,950 ",1,1,696
"Austin, TX","11425 Gossamer Dr, Austin, TX 78754","$399,900 ",3,2,"1,889"
"Austin, TX","5927 Highland Hills Dr, Austin, TX 78731","$1,300,000 ",4,3,"2,766"
"Austin, TX","2106 Singletree Ave, Austin, TX 78727","$329,000 ",3,2,"1,346"
"Austin, TX","9912 Deer Chase Trl, Austin, TX 78747","$348,000 ",3,2,"1,527"
